Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,LoggedMinutes,UnloggedMinutes
1503960366,4/12/2016,"13,162",8.5,8.5,0,1.87999999523163,0.550000011920929,6.05999994277954,0,25,13,328,728,"1,985",1094,346
1503960366,4/13/2016,"10,735",6.96999979019165,6.96999979019165,0,1.57000005245209,0.689999997615814,4.71000003814697,0,21,19,217,776,"1,797",1033,407
1503960366,4/14/2016,"10,460",6.73999977111816,6.73999977111816,0,2.44000005722046,0.400000005960464,3.91000008583069,0,30,11,181,"1,218","1,776",1440,0
1503960366,4/15/2016,"9,762",6.28000020980835,6.28000020980835,0,2.14000010490417,1.25999999046326,2.82999992370605,0,29,34,209,726,"1,745",998,442
1503960366,4/16/2016,"12,669",8.15999984741211,8.15999984741211,0,2.71000003814697,0.409999996423721,5.03999996185303,0,36,10,221,773,"1,863",1040,400
1503960366,4/17/2016,"9,705",6.48000001907349,6.48000001907349,0,3.19000005722046,0.779999971389771,2.50999999046326,0,38,20,164,539,"1,728",761,679
1503960366,4/18/2016,"13,019",8.59000015258789,8.59000015258789,0,3.25,0.639999985694885,4.71000003814697,0,42,16,233,"1,149","1,921",1440,0
1503960366,4/19/2016,"15,506",9.88000011444092,9.88000011444092,0,3.52999997138977,1.32000005245209,5.03000020980835,0,50,31,264,775,"2,035",1120,320
1503960366,4/20/2016,"10,544",6.67999982833862,6.67999982833862,0,1.96000003814697,0.479999989271164,4.23999977111816,0,28,12,205,818,"1,786",1063,377
1503960366,4/21/2016,"9,819",6.34000015258789,6.34000015258789,0,1.3400000333786,0.349999994039536,4.65000009536743,0,19,8,211,838,"1,775",1076,364
1503960366,4/22/2016,"12,764",8.13000011444092,8.13000011444092,0,4.76000022888184,1.12000000476837,2.24000000953674,0,66,27,130,"1,217","1,827",1440,0
1503960366,4/23/2016,"14,371",9.03999996185303,9.03999996185303,0,2.80999994277954,0.870000004768372,5.3600001335144,0,41,21,262,732,"1,949",1056,384
1503960366,4/24/2016,"10,039",6.40999984741211,6.40999984741211,0,2.92000007629395,0.209999993443489,3.27999997138977,0,39,5,238,709,"1,788",991,449
1503960366,4/25/2016,"15,355",9.80000019073486,9.80000019073486,0,5.28999996185303,0.569999992847443,3.94000005722046,0,73,14,216,814,"2,013",1117,323
1503960366,4/26/2016,"13,755",8.78999996185303,8.78999996185303,0,2.32999992370605,0.920000016689301,5.53999996185303,0,31,23,279,833,"1,970",1166,274
1503960366,4/27/2016,"18,134",12.210000038147,12.210000038147,0,6.40000009536743,0.409999996423721,5.40999984741211,0,78,11,243,"1,108","2,159",1440,0
1503960366,4/28/2016,"13,154",8.52999973297119,8.52999973297119,0,3.53999996185303,1.1599999666214,3.78999996185303,0,48,28,189,782,"1,898",1047,393
1503960366,4/29/2016,"11,181",7.15000009536743,7.15000009536743,0,1.05999994277954,0.5,5.57999992370605,0,16,12,243,815,"1,837",1086,354
1503960366,4/30/2016,"14,673",9.25,9.25,0,3.55999994277954,1.41999995708466,4.26999998092651,0,52,34,217,712,"1,947",1015,425
1503960366,5/1/2016,"10,602",6.80999994277954,6.80999994277954,0,2.28999996185303,1.60000002384186,2.92000007629395,0,33,35,246,730,"1,820",1044,396
1503960366,5/2/2016,"14,727",9.71000003814697,9.71000003814697,0,3.21000003814697,0.569999992847443,5.92000007629395,0,41,15,277,798,"2,004",1131,309
1503960366,5/3/2016,"15,103",9.65999984741211,9.65999984741211,0,3.73000001907349,1.04999995231628,4.88000011444092,0,50,24,254,816,"1,990",1144,296
1503960366,5/4/2016,"11,100",7.15000009536743,7.15000009536743,0,2.46000003814697,0.870000004768372,3.8199999332428,0,36,22,203,"1,179","1,819",1440,0
1503960366,5/5/2016,"14,070",8.89999961853027,8.89999961853027,0,2.92000007629395,1.08000004291534,4.88000011444092,0,45,24,250,857,"1,959",1176,264
1503960366,5/6/2016,"12,159",8.02999973297119,8.02999973297119,0,1.97000002861023,0.25,5.80999994277954,0,24,6,289,754,"1,896",1073,367
